"Class Nbr","Subject","Catalog","Section","Description","Capacity","Total Enrolled","Available Seats","Total Waitlisted","In Shopping Cart","Unmet Demand","Class Start Time","Class End Time","Meeting Days","Facility ID","Instructor","Start Date","End Date"
2013,"AS",304,1,"Leadership Laboratory",86,44,42,0,0,0,"5:30PM","8:30PM","M","SN213","Jonathan Crocker","01/10/2019","04/26/2019"
2070,"AS",102,2,"The Air Force Today II",22,13,9,0,0,0,"4:00PM","4:50PM","M","SN110","Jonathan Crocker","01/10/2019","04/26/2019"
2009,"AS",104,1,"Leadership Laboratory",86,44,42,0,0,0,"5:30PM","8:30PM","M","SN213","Jonathan Crocker","01/10/2019","04/26/2019"
2008,"AS",102,1,"The Air Force Today II",20,6,14,0,0,0,"9:00AM","9:50AM","M","SN110","Jonathan Crocker","01/10/2019","04/26/2019"
3325,"AS",202,2,"Evolution of Air Power II",30,2,28,0,1,0,"3:00PM","3:50PM","M","SN110","Ryan Kittle","01/10/2019","04/26/2019"
2011,"AS",204,1,"Leadership Laboratory",86,44,42,0,0,0,"5:30PM","8:30PM","M","SN213","Jonathan Crocker","01/10/2019","04/26/2019"
2010,"AS",202,1,"Evolution of Air Power II",20,7,13,0,0,0,"10:00AM","10:50AM","M","SN110","Ryan Kittle","01/10/2019","04/26/2019"
4131,"BIE",400,1,"Responsible Conduct of Rsrch",30,22,8,0,2,0,,,,"ONLINE","Sean Michael Philpott","01/10/2019","04/26/2019"
2490,"BR",500,1,"Biomedical Eng Fundamentals",24,34,-10,0,1,11,"1:00PM","2:15PM","TR","RL142","Charles J Robinson","01/10/2019","04/26/2019"
3073,"BR",450,1,"BEST Capstone Design I",30,3,27,0,0,0,,,,,"Charles J Robinson","01/10/2019","04/26/2019"
3878,"BR",500,"D1","Biomedical Eng Fundamentals",30,2,28,0,4,0,,,,"ONLINE","Charles J Robinson","01/10/2019","04/26/2019"
2919,"BR",200,1,"Intro to Biomed & Rehab Eng",45,46,-1,0,4,5,"8:00AM","9:15AM","TR","CB194","Charles J Robinson","01/10/2019","04/26/2019"
2462,"BR",400,1,"Biomedical Eng. Fundamentals",24,34,-10,0,7,17,"1:00PM","2:15PM","TR","RL142","Charles J Robinson","01/10/2019","04/26/2019"
2871,"BY",498,86,"Internship in Bioscience",99,1,98,0,0,0,,,,,"Cintia Fabiana Hongay","01/10/2019","04/26/2019"
2678,"BY",498,89,"Internship in Bioscience",99,0,99,0,0,0,,,,,"Kenneth N Wallace","01/10/2019","04/26/2019"
2870,"BY",498,78,"Internship in Bioscience",99,1,98,0,2,0,,,,,"Damien Samways","01/10/2019","04/26/2019"
3312,"BY",499,12,"Prof Exp in Bioscience",99,0,99,0,0,0,,,,,"Andrew Anthony David","01/10/2019","04/26/2019"
3314,"BY",499,5,"Prof Exp in Bioscience",99,0,99,0,0,0,,,,,"Susan Bailey","01/10/2019","04/26/2019"
3310,"BY",498,40,"Internship in Bioscience",99,0,99,0,0,0,,,,,"Stefanie Kring","01/10/2019","04/26/2019"
2675,"BY",498,42,"Internship in Bioscience",99,0,99,0,0,0,,,,,"Tom A Langen","01/10/2019","04/26/2019"
3084,"BY",498,36,"Internship in Bioscience",99,0,99,0,0,0,,,,,"Shantanu Sur","01/10/2019","04/26/2019"
3015,"BY",498,62,"Internship in Bioscience",99,0,99,0,0,0,,,,,"Thomas C Lufkin","01/10/2019","04/26/2019"
2676,"BY",498,44,"Internship in Bioscience",99,0,99,0,0,0,,,,,"Michael R Twiss","01/10/2019","04/26/2019"
3016,"BY",499,62,"Prof Exp in Bioscience",99,1,98,0,0,0,,,,,"Thomas C Lufkin","01/10/2019","04/26/2019"
2872,"BY",499,78,"Prof Exp in Bioscience",99,0,99,0,0,0,,,,,"Damien Samways","01/10/2019","04/26/2019"
2680,"BY",499,44,"Prof Exp in Bioscience",99,1,98,0,1,0,,,,,"Michael R Twiss","01/10/2019","04/26/2019"
2682,"BY",499,89,"Prof Exp in Bioscience",99,0,99,0,0,0,,,,,"Kenneth N Wallace","01/10/2019","04/26/2019"
2873,"BY",499,86,"Prof Exp in Bioscience",99,0,99,0,0,0,,,,,"Cintia Fabiana Hongay","01/10/2019","04/26/2019"
3149,"BY",499,36,"Prof Exp in Bioscience",99,1,98,0,1,0,,,,,"Shantanu Sur","01/10/2019","04/26/2019"
3931,"BY",499,29,"Prof Exp in Bioscience",99,0,99,0,0,0,,,,,"Ginger Hunter","01/10/2019","04/26/2019"
2679,"BY",499,42,"Prof Exp in Bioscience",99,0,99,0,0,0,,,,,"Tom A Langen","01/10/2019","04/26/2019"
3313,"BY",499,40,"Prof Exp in Bioscience",99,1,98,0,0,0,,,,,"Stefanie Kring","01/10/2019","04/26/2019"
3929,"BY",495,29,"Ugrd TA in Bioscience",99,0,99,0,0,0,,,,,"Ginger Hunter","01/10/2019","04/26/2019"
3148,"BY",495,36,"Ugrd TA in Bioscience",99,0,99,0,0,0,,,,,"Shantanu Sur","01/10/2019","04/26/2019"
3216,"BY",495,12,"Ugrd TA in Bioscience",99,2,97,0,0,0,,,,,"Andrew Anthony David","01/10/2019","04/26/2019"
3098,"BY",495,42,"Ugrd TA in Bioscience",99,0,99,0,0,0,,,,,"Tom A Langen","01/10/2019","04/26/2019"
3217,"BY",495,40,"Ugrd TA in Bioscience",99,1,98,0,1,0,,,,,"Stefanie Kring","01/10/2019","04/26/2019"
3640,"BY",482,"TRU","Molecular Genetics",30,0,30,0,0,0,,,,,"Kenneth N Wallace","01/10/2019","04/26/2019"
3732,"BY",482,1,"Molecular Genetics",18,2,16,0,0,0,"1:00PM","2:15PM","TR","SC134B","Kenneth N Wallace","01/10/2019","04/26/2019"
3308,"BY",495,5,"Ugrd TA in Bioscience",99,0,99,0,0,0,,,,,"Susan Bailey","01/10/2019","04/26/2019"
3418,"BY",490,"TRU","Project in Bioscience",20,4,16,0,0,0,,,,,"Jr-Shiuan Lin","01/10/2019","04/26/2019"
3102,"BY",495,89,"Ugrd TA in Bioscience",99,0,99,0,0,0,,,,,"Kenneth N Wallace","01/10/2019","04/26/2019"
3311,"BY",498,5,"Internship in Bioscience",99,0,99,0,0,0,,,,,"Susan Bailey","01/10/2019","04/26/2019"
3103,"BY",495,86,"Ugrd TA in Bioscience",99,1,98,0,0,0,,,,,"Cintia Fabiana Hongay","01/10/2019","04/26/2019"
3930,"BY",498,29,"Internship in Bioscience",99,0,99,0,0,0,,,,,"Ginger Hunter","01/10/2019","04/26/2019"
3309,"BY",498,12,"Internship in Bioscience",99,0,99,0,0,0,,,,,"Andrew Anthony David","01/10/2019","04/26/2019"
3106,"BY",495,62,"Ugrd TA in Bioscience",99,0,99,0,0,0,,,,,"Thomas C Lufkin","01/10/2019","04/26/2019"
3099,"BY",495,44,"Ugrd TA in Bioscience",99,1,98,0,1,0,,,,,"Michael R Twiss","01/10/2019","04/26/2019"
3101,"BY",495,80,"Ugrd TA in Bioscience",99,0,99,0,0,0,,,,,"Michelle Crimi","01/10/2019","04/26/2019"
3104,"BY",495,78,"Ugrd TA in Bioscience",99,1,98,0,0,0,,,,,"Damien Samways","01/10/2019","04/26/2019"
2384,"BY",622,89,"Graduate Seminar",12,12,0,0,0,0,,,,,"Kenneth N Wallace","01/10/2019","04/26/2019"
2404,"BY",651,1,"Biochemistry II",30,28,2,0,0,0,"10:00AM","10:50AM","MWF","SC356","Artem Melman","01/10/2019","04/26/2019"
3111,"BY",600,89,"D.S. in Bioscience",35,0,35,0,0,0,,,,,"Kenneth N Wallace","01/10/2019","04/26/2019"
3933,"BY",900,29,"Thesis, Diss or Spec Proj",30,0,30,0,0,0,,,,,"Ginger Hunter","01/10/2019","04/26/2019"
4257,"BY",900,5,"Thesis, Diss or Spec Proj",30,2,28,0,0,0,,,,,"Susan Bailey","01/10/2019","04/26/2019"
3113,"BY",600,78,"D.S. in Bioscience",35,0,35,0,0,0,,,,,"Damien Samways","01/10/2019","04/26/2019"
3114,"BY",600,62,"D.S. in Bioscience",35,0,35,0,0,0,,,,,"Thomas C Lufkin","01/10/2019","04/26/2019"
3112,"BY",600,86,"D.S. in Bioscience",35,0,35,0,0,0,,,,,"Cintia Fabiana Hongay","01/10/2019","04/26/2019"
3110,"BY",600,80,"D.S. in Bioscience",35,0,35,0,0,0,,,,,"Michelle Crimi","01/10/2019","04/26/2019"
3120,"BY",900,78,"Thesis, Diss or Spec Proj",30,2,28,0,0,0,,,,,"Damien Samways","01/10/2019","04/26/2019"
3118,"BY",900,80,"Thesis, Diss or Spec Proj",30,0,30,0,0,0,,,,,"Michelle Crimi","01/10/2019","04/26/2019"
3123,"BY",900,77,"Thesis, Diss or Spec Proj",30,0,30,0,0,0,,,,,"Lisa Suzanne Legault","01/10/2019","04/26/2019"
3119,"BY",900,89,"Thesis, Diss or Spec Proj",30,1,29,0,0,0,,,,,"Kenneth N Wallace","01/10/2019","04/26/2019"
3121,"BY",900,86,"Thesis, Diss or Spec Proj",30,1,29,0,0,0,,,,,"Cintia Fabiana Hongay","01/10/2019","04/26/2019"
3115,"BY",900,42,"Thesis, Diss or Spec Proj",30,1,29,0,1,0,,,,,"Tom A Langen","01/10/2019","04/26/2019"
3151,"BY",900,36,"Thesis, Diss or Spec Proj",30,4,26,0,0,0,,,,,"Shantanu Sur","01/10/2019","04/26/2019"
3122,"BY",900,62,"Thesis, Diss or Spec Proj",30,3,27,0,0,0,,,,,"Thomas C Lufkin","01/10/2019","04/26/2019"
3116,"BY",900,44,"Thesis, Diss or Spec Proj",30,1,29,0,0,0,,,,,"Michael R Twiss","01/10/2019","04/26/2019"
4232,"BY",527,1,"Advanced Mass Spectrometry",30,8,22,0,0,0,"12:00PM","12:50PM","MWF","SC340","Costel C Darie","01/10/2019","04/26/2019"
2488,"BY",540,1,"Intro Biomed Rehab Eng & Sci",24,34,-10,0,0,10,"1:00PM","2:15PM","TR","RL142","Charles J Robinson","01/10/2019","04/26/2019"
3924,"BY",525,1,"Biological Sys & Environ Chng",30,19,11,0,0,0,"1:00PM","1:50PM","MWF","SN129","Tom A Langen","01/10/2019","04/26/2019"
3859,"BY",572,1,"Anatomy & Physiology II",60,44,16,0,0,0,"8:00AM","9:15AM","TR","SN213","Shantanu Sur","01/10/2019","04/26/2019"
3142,"BY",548,1,"Medical Microbiology",40,12,28,0,0,0,"9:00AM","9:50AM","MWF","SNB10L","Ginger Hunter","01/10/2019","04/26/2019"
3363,"BY",514,1,"Bioinformatics",20,8,12,0,0,0,"8:00AM","8:50AM","MWF","SC342","Susan Bailey","01/10/2019","04/26/2019"
3147,"BY",510,1,"Developmental Biology",30,5,25,0,0,0,"9:30AM","10:45AM","TR","TC206","Kenneth N Wallace","01/10/2019","04/26/2019"
2480,"BY",520,1,"Microbiology",90,31,59,0,0,0,"11:00AM","12:15PM","TR","SC362","Michael R Twiss","01/10/2019","04/26/2019"
3772,"BY",514,10,"Bioinformatics",30,8,22,0,0,0,"12:00PM","1:50PM","W","CB163","Susan Bailey","01/10/2019","04/26/2019"
3932,"BY",600,29,"D.S. in Bioscience",35,0,35,0,0,0,,,,,"Ginger Hunter","01/10/2019","04/26/2019"
3150,"BY",600,36,"D.S. in Bioscience",35,0,35,0,0,0,,,,,"Shantanu Sur","01/10/2019","04/26/2019"
3731,"BY",582,1,"Molecular Genetics",18,2,16,0,0,0,"1:00PM","2:15PM","TR","SC134B","Kenneth N Wallace","01/10/2019","04/26/2019"
3108,"BY",600,44,"D.S. in Bioscience",35,0,35,0,0,0,,,,,"Michael R Twiss","01/10/2019","04/26/2019"
3107,"BY",600,42,"D.S. in Bioscience",35,0,35,0,0,0,,,,,"Tom A Langen","01/10/2019","04/26/2019"
3861,"BY",574,15,"Anatomy & Physiology II Lab",15,15,0,0,0,0,"12:00PM","2:45PM","W","SC134B","Shantanu Sur","01/10/2019","04/26/2019"
3860,"BY",574,10,"Anatomy & Physiology II Lab",15,18,-3,0,0,3,"9:00AM","11:45AM","W","SC134B",,"01/10/2019","04/26/2019"
3014,"BY",576,1,"Current Topics/Bio & Medicine",15,16,-1,0,0,1,"2:30PM","3:45PM","TR","SN177","Thomas C Lufkin","01/10/2019","04/26/2019"
3862,"BY",574,20,"Anatomy & Physiology II Lab",15,8,7,0,0,0,"3:00PM","5:45PM","W","SC134B","Shantanu Sur","01/10/2019","04/26/2019"
3934,"BY",304,1,"Introductory Zoology",19,18,1,0,4,3,"4:00PM","5:15PM","TR","CB194",,"01/10/2019","04/26/2019"
3316,"BY",314,1,"Bioinformatics",20,8,12,0,0,0,"8:00AM","8:50AM","MWF","SC342","Susan Bailey","01/10/2019","04/26/2019"
2219,"BY",300,1,"Advances in Bio Research",30,9,21,0,1,0,"2:00PM","3:15PM","F","SN214","Kenneth N Wallace","01/10/2019","04/26/2019"
2220,"BY",320,1,"Microbiology",90,31,59,0,5,0,"11:00AM","12:15PM","TR","SC362","Michael R Twiss","01/10/2019","04/26/2019"
3771,"BY",314,10,"Bioinformatics",30,8,22,0,0,0,"12:00PM","1:50PM","W","CB163","Susan Bailey","01/10/2019","04/26/2019"
2591,"BY",162,45,"Biology II Laboratory",16,16,0,0,1,1,"2:00PM","4:50PM","R","SC170D",,"01/10/2019","04/26/2019"
2866,"BY",162,50,"Biology II Laboratory",0,0,0,0,1,1,"8:00AM","10:50AM","F","SC170D",,"01/10/2019","04/26/2019"
2266,"BY",162,40,"Biology II Laboratory",16,16,0,0,0,0,"11:00AM","1:50PM","R","SC170D",,"01/10/2019","04/26/2019"
2218,"BY",214,1,"Genetics",54,39,15,0,6,0,"10:00AM","11:50AM","TR","RL244","Cintia Fabiana Hongay","01/10/2019","04/26/2019"
2867,"BY",162,55,"Biology II Laboratory",0,0,0,0,0,0,"11:00AM","1:50PM","F","SC170D",,"01/10/2019","04/26/2019"
3307,"BY",400,5,"D.S. in Bioscience",99,0,99,0,0,0,,,,,"Susan Bailey","01/10/2019","04/26/2019"
3305,"BY",400,12,"D.S. in Bioscience",99,0,99,0,0,0,,,,,"Andrew Anthony David","01/10/2019","04/26/2019"
3417,"BY",380,"TRU","Immunological Research Techniq",20,4,16,0,0,0,,,,,"Jr-Shiuan Lin","01/10/2019","04/26/2019"
3083,"BY",400,36,"D.S. in Bioscience",99,0,99,0,0,0,,,,,"Shantanu Sur","01/10/2019","04/26/2019"
3927,"BY",400,29,"D.S. in Bioscience",99,0,99,0,0,0,,,,,"Ginger Hunter","01/10/2019","04/26/2019"
3422,"BY",322,20,"Microbiology Laboratory",0,0,0,0,0,0,"1:00PM","3:45PM","R","SC134A","Michael R Twiss","01/10/2019","04/26/2019"
3421,"BY",322,10,"Microbiology Laboratory",18,8,10,0,2,0,"1:00PM","3:45PM","T","SC134A","Michael R Twiss","01/10/2019","04/26/2019"
3925,"BY",358,1,"Animal Learning & Cognition",48,48,0,0,1,1,"11:00AM","11:50AM","MWF","SN177","Tom A Langen","01/10/2019","04/26/2019"
4063,"BY",345,1,"The Human Genome",30,11,19,0,1,0,"9:00AM","9:50AM","MWF","SC348","Susan Bailey","01/10/2019","04/26/2019"
3233,"BY",160,12,"Biology II -Cell & Molec Bio",30,29,1,0,0,0,"10:00AM","10:50AM","M","SC348",,"01/10/2019","04/26/2019"
3234,"BY",160,13,"Biology II -Cell & Molec Bio",30,28,2,0,0,0,"11:00AM","11:50AM","M","SC340",,"01/10/2019","04/26/2019"
3232,"BY",160,11,"Biology II -Cell & Molec Bio",30,29,1,0,0,0,"8:00AM","8:50AM","M","SC340",,"01/10/2019","04/26/2019"
3236,"BY",160,15,"Biology II -Cell & Molec Bio",30,14,16,0,0,0,"8:00AM","8:50AM","W","SC340",,"01/10/2019","04/26/2019"
3235,"BY",160,14,"Biology II -Cell & Molec Bio",30,30,0,0,0,0,"12:00PM","12:50PM","M","SC356",,"01/10/2019","04/26/2019"
3240,"BY",120,1,"Intro to Biotech Sci & Appl",25,25,0,0,2,2,"12:00PM","12:50PM","MWF","CB178","Petra Marion Kraus","01/10/2019","04/26/2019"
3353,"BY",115,1,"Intro to Environmental Sustain",50,45,5,0,6,1,"2:30PM","3:45PM","TR","RL244","Stefanie Kring","01/10/2019","04/26/2019"
2752,"BY",160,2,"Biology II -Cell & Molec Bio",100,97,3,0,4,1,"1:00PM","1:50PM","MWF","SC362","Andrew Anthony David","01/10/2019","04/26/2019"
2216,"BY",160,1,"Biology II -Cell & Molec Bio",150,89,61,0,4,0,"3:00PM","3:50PM","MWF","SC360","Andrew Anthony David","01/10/2019","04/26/2019"
2262,"BY",162,20,"Biology II Laboratory",16,16,0,0,4,4,"2:00PM","4:50PM","T","SC170D",,"01/10/2019","04/26/2019"
2263,"BY",162,25,"Biology II Laboratory",16,13,3,0,0,0,"8:00AM","10:50AM","W","SC170D",,"01/10/2019","04/26/2019"
2217,"BY",162,15,"Biology II Laboratory",16,16,0,0,2,2,"11:00AM","1:50PM","T","SC170D",,"01/10/2019","04/26/2019"
2265,"BY",162,35,"Biology II Laboratory",16,16,0,0,1,1,"8:00AM","10:50AM","R","SC170D",,"01/10/2019","04/26/2019"
2264,"BY",162,30,"Biology II Laboratory",16,15,1,0,1,0,"11:00AM","1:50PM","W","SC170D",,"01/10/2019","04/26/2019"
3238,"BY",160,17,"Biology II -Cell & Molec Bio",30,24,6,0,0,0,"11:00AM","11:50AM","W","SC348",,"01/10/2019","04/26/2019"
3237,"BY",160,16,"Biology II -Cell & Molec Bio",30,16,14,0,0,0,"9:00AM","9:50AM","W","SC344",,"01/10/2019","04/26/2019"
2710,"BY",162,10,"Biology II Laboratory",16,16,0,0,0,0,"8:00AM","10:50AM","T","SC170D",,"01/10/2019","04/26/2019"
3239,"BY",160,18,"Biology II -Cell & Molec Bio",30,16,14,0,0,0,"12:00PM","12:50PM","W","SC356",,"01/10/2019","04/26/2019"
3660,"BY",430,1,"Developmental Biology",30,5,25,0,2,0,"9:30AM","10:45AM","TR","TC206","Kenneth N Wallace","01/10/2019","04/26/2019"
2472,"BY",440,1,"Biomedical Eng Fundamentals",24,34,-10,0,1,11,"1:00PM","2:15PM","TR","RL142","Charles J Robinson","01/10/2019","04/26/2019"
4231,"BY",427,1,"Advanced Mass Spectrometry",30,8,22,0,0,0,"12:00PM","12:50PM","MWF","SC340","Costel C Darie","01/10/2019","04/26/2019"
2221,"BY",451,1,"Biochemistry II",30,28,2,0,0,0,"10:00AM","10:50AM","MWF","SC356","Artem Melman","01/10/2019","04/26/2019"
3141,"BY",448,1,"Medical Microbiology",40,12,28,0,0,0,"9:00AM","9:50AM","MWF","SNB10L","Ginger Hunter","01/10/2019","04/26/2019"
3765,"BY",405,86,"Ugrd Research in Bioscience",99,1,98,0,0,0,,,,,"Cintia Fabiana Hongay","01/10/2019","04/26/2019"
3816,"BY",405,78,"Ugrd Research in Bioscience",99,0,99,0,0,0,,,,,"Damien Samways","01/10/2019","04/26/2019"
3923,"BY",425,1,"Biological Sys & Environ Chng",30,19,11,0,5,0,"1:00PM","1:50PM","MWF","SN129","Tom A Langen","01/10/2019","04/26/2019"
3819,"BY",405,89,"Ugrd Research in Bioscience",99,0,99,0,1,0,,,,,"Kenneth N Wallace","01/10/2019","04/26/2019"
2628,"BY",474,10,"Anatomy and Physiology II Lab",15,18,-3,0,2,5,"9:00AM","11:45AM","W","SC134B",,"01/10/2019","04/26/2019"
2629,"BY",474,15,"Anatomy and Physiology II Lab",15,15,0,0,0,0,"12:00PM","2:45PM","W","SC134B","Shantanu Sur","01/10/2019","04/26/2019"
2627,"BY",472,1,"Anatomy and Physiology II",60,44,16,0,1,0,"8:00AM","9:15AM","TR","SN213","Shantanu Sur","01/10/2019","04/26/2019"
3013,"BY",476,1,"Current Topics/Bio & Medicine",15,16,-1,0,1,2,"2:30PM","3:45PM","TR","SN177","Thomas C Lufkin","01/10/2019","04/26/2019"
2920,"BY",474,20,"Anatomy and Physiology II Lab",15,8,7,0,2,0,"3:00PM","5:45PM","W","SC134B","Shantanu Sur","01/10/2019","04/26/2019"
4140,"BY",453,10,"Pharmacology Lab",30,10,20,0,1,0,"2:30PM","5:15PM","M","SC134B","Damien Samways","01/10/2019","04/26/2019"
4035,"BY",452,1,"Pharmacology",30,19,11,0,1,0,"1:00PM","1:50PM","MWF","SNB10L","Damien Samways","01/10/2019","04/26/2019"
2267,"BY",470,20,"Biochem & Biotech Lab",11,8,3,0,0,0,"9:00AM","11:45AM","TR","SC134A","Emanuela Silvana Andreescu","01/10/2019","04/26/2019"
2222,"BY",470,10,"Biochem & Biotech Lab",12,10,2,0,0,0,"1:00PM","3:45PM","MW","SC134A","Emanuela Silvana Andreescu","01/10/2019","04/26/2019"
2868,"BY",400,86,"D.S. in Bioscience",99,0,99,0,0,0,,,,,"Cintia Fabiana Hongay","01/10/2019","04/26/2019"
